file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,stress_std_pa,n_used,n_total,used_samples,used_files,dropped_samples
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,33,0.9541632122328528,-1081.132238383189,211.70293153271714,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,34,0.9583151844311157,-1048.0647859121646,210.7603767632158,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,35,0.9624671566293787,-1002.4475767665429,204.73978337814845,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,36,0.9666191288276416,-956.7158615705303,199.34553648987995,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,37,0.9707711010259045,-910.9841463745175,194.54949005500686,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,compression,38,0.9749230732241674,-865.2524311785048,190.39685497509285,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,1,0.8224095783964566,1105.540197266098,252.81865848549,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,2,0.8239746782872532,1044.9611692494832,237.3609882761096,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,3,0.8255397781780499,984.3821412328682,222.0809015330859,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,4,0.8271048780688466,923.8031132162536,207.0177245779045,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,5,0.8286699779596433,863.2240851996387,192.2224574455499,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,6,0.8302350778504399,802.645057183024,177.76200774273315,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,7,0.8318001777412367,742.066029166405,163.7251142628297,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,8,0.8333652776320334,681.4870011497902,150.23054974722783,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,9,0.8349303775228301,620.9079731331755,137.43815521048046,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,10,0.8364954774136267,560.3289451165607,125.56272667991125,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,11,0.8380605773044234,499.74991709994595,114.88896182077832,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,12,0.8396256771952201,439.1708890833312,105.78124672429698,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,13,0.8411907770860167,381.7573452795674,95.15304392068893,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,14,0.8427558769768134,356.25671371694165,85.87390256388981,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,15,0.8443209768676101,334.20222266449707,78.97022450831089,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,uniaxial,unloading,16,0.8458860767584068,312.14773161205255,72.23016366642554,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
